date,open,high,low,close,volume,dividends,stock splits
2015-01-01 00:00:00+05:30,189.65744608147511,190.8771706719807,189.0903658533578,189.99981689453125,2963643,0.0,0.0
2015-01-02 00:00:00+05:30,190.04260071522322,191.74381271840838,189.22945580333513,189.49693298339844,7331366,0.0,0.0
2015-01-05 00:00:00+05:30,189.3792394487279,190.64177456827719,187.04676706013433,187.42124938964844,10103941,0.0,0.0
2015-01-06 00:00:00+05:30,186.1694487623213,186.81140833967845,178.03789888297737,178.91525268554688,18627980,0.0,0.0
2015-01-07 00:00:00+05:30,179.1292285310337,183.77276085280215,179.10783035701846,182.809814453125,20720312,0.0,0.0
2015-01-08 00:00:00+05:30,184.0509160030909,184.65009337577894,179.78186650077416,180.18844604492188,19872227,0.0,0.0
2015-01-09 00:00:00+05:30,181.54729564096232,184.457533275433,180.81974337459295,184.09375,13392787,0.0,0.0
2015-01-12 00:00:00+05:30,184.13655801772492,184.24354889589054,180.0921885470929,181.95387268066406,10100113,0.0,0.0
2015-01-13 00:00:00+05:30,182.53163606142144,182.94891476700133,179.85679270891694,180.42385864257812,9948711,0.0,0.0
2015-01-14 00:00:00+05:30,180.3917394437132,181.24769492622863,177.86668362633776,178.6691436767578,11380041,0.0,0.0
2015-01-15 00:00:00+05:30,179.74979516459382,186.4048131781008,179.74979516459382,184.93899536132812,16927085,0.0,0.0
2015-01-16 00:00:00+05:30,184.02956058091692,187.23938705211427,182.32836269317522,186.10525512695312,19136963,0.0,0.0
2015-01-19 00:00:00+05:30,186.21225115902527,189.59324885147356,183.7620884559331,188.23443603515625,13339962,0.0,0.0
2015-01-20 00:00:00+05:30,188.6303094395571,193.77671368739692,188.0632291983135,193.2417449951172,13361320,0.0,0.0
2015-01-21 00:00:00+05:30,193.6590401834942,195.02855215285447,190.88789040858146,194.03350830078125,17084297,0.0,0.0
2015-01-22 00:00:00+05:30,193.69110862891478,194.12978549981565,188.20231962566118,189.1117706298828,23721627,0.0,0.0
2015-01-23 00:00:00+05:30,190.4492006574211,192.11830129279832,187.66736626512574,189.7858428955078,18080494,0.0,0.0
2015-01-27 00:00:00+05:30,191.06977002473116,191.88292934184867,188.4163245820548,190.2459259033203,17939876,0.0,0.0
2015-01-28 00:00:00+05:30,189.61465072299592,194.68617592947535,189.61465072299592,194.05490112304688,19298126,0.0,0.0
2015-01-29 00:00:00+05:30,194.10837417270935,199.97164555622763,194.06557782256655,198.88031005859375,36117653,0.0,0.0
2015-01-30 00:00:00+05:30,199.00868756270236,199.27617902007137,194.5149424979657,195.8523712158203,21746801,0.0,0.0
2015-02-02 00:00:00+05:30,196.0235729278048,196.84743125784271,193.80880461402253,194.31167602539062,19302710,0.0,0.0
2015-02-03 00:00:00+05:30,195.41371298308377,201.33048002463076,195.41371298308377,200.63502502441406,17092333,0.0,0.0
2015-02-04 00:00:00+05:30,200.95597636749395,201.96171909572098,198.131346029715,198.7519073486328,14072894,0.0,0.0
2015-02-05 00:00:00+05:30,200.2926458875079,201.12718905570785,196.35526713457438,197.6605987548828,12365643,0.0,0.0
